time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Sat Jan 04 15:38:45 +0000 2014,Gettin hyped for #alldaydate2014 con mi coriño @LaurenWard08,ASpannbauer,1,1,2,Gettin hyped for #al...
Tue Dec 31 19:36:51 +0000 2013,@_mharp I'll be there in 2 hrs,ASpannbauer,1,0,1,@_mharp I'll be ther...
Mon Dec 30 04:14:18 +0000 2013,My fantasy team is better than the one @dozark1 coached #leaguechamp,ASpannbauer,0,0,0,My fantasy team is b...
Sun Dec 29 11:53:55 +0000 2013,So I just woke up after what was gonna be a short after work nap...14 and a half hours later #4:30-7,ASpannbauer,4,0,4,So I just woke up af...
Sat Dec 28 01:24:38 +0000 2013,@dozark1 get my ticket for a bday gift and I'm so in,ASpannbauer,0,0,0,@dozark1 get my tick...
Fri Dec 27 15:05:15 +0000 2013,Get your play-doh game up http://t.co/zQqlsozKPl,ASpannbauer,3,0,3,Get your play-doh ga...
Mon Dec 23 15:59:38 +0000 2013,@ActionBronson knows how to get the ladies going http://t.co/oyPqxZ8W9y @dozark1 #evenfakehipsdontlie,ASpannbauer,1,0,1,@ActionBronson knows...
Mon Dec 16 22:02:11 +0000 2013,My watch is getting in the Xmas spirit #MJW http://t.co/oT6hj0VoBx,ASpannbauer,0,0,0,My watch is getting ...
Sun Dec 15 18:26:09 +0000 2013,In the kitchen like @ActionBronson #macandcheese,ASpannbauer,0,0,0,In the kitchen like ...
Thu Dec 12 19:06:16 +0000 2013,@dozark1 then why are they open for me? 😕,ASpannbauer,1,0,1,@dozark1 then why ar...
Thu Dec 12 14:40:18 +0000 2013,@DinoKrista even graduated cylinders are empty until they find their purpose! Then they are filled up #earlymorningpunphilosophy,ASpannbauer,1,0,1,@DinoKrista even gra...
Tue Dec 10 15:53:48 +0000 2013,Only OGs recognize this @Deckness @_mharp @Johnsonla12 @Cole_BFK http://t.co/bVKiFMvapO,ASpannbauer,2,0,2,Only OGs recognize t...
